"annotation_id","annotator","comment","created_at","id","lead_time","rating","taxonomy","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
1,"1","спасибо","2025-05-12T06:47:36.902587Z",2945792,5.386,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T06:47:36.902615Z","","","","",""
2,"1","спасибо!","2025-05-12T06:48:01.075439Z",3234340,4.775,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T06:48:01.075459Z","","","","",""
3,"1","Отлично ","2025-05-12T06:48:19.662600Z",3380332,13.094,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Понравилось выполнение заявки""],[""Вопрос решен""]]}]","2025-05-12T06:48:19.662618Z","","","","",""
4,"1","Благодарю за оперативное решение проблемы ! ","2025-05-12T06:49:48.873797Z",3381812,84.294,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""],[""Нравится качество работы сотрудников""],[""Понравилось выполнение заявки""],[""Вопрос решен""]]}]","2025-05-12T06:49:48.873813Z","","","","",""
5,"1","Прекрасный специалист! Побольше таких","2025-05-12T06:49:57.708043Z",3461991,7.505,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T06:49:57.708065Z","","","","",""
6,"1","Спасибо ","2025-05-12T06:50:05.626313Z",3551430,6.806,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T06:50:05.626342Z","","","","",""
7,"1","пересчет, и скорость 
","2025-05-12T06:50:13.568162Z",3572768,5.9,1,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]","2025-05-12T06:50:13.568189Z","","","","",""
8,"1","Спасибо за обновление покраски стен","2025-05-12T06:50:34.027298Z",3584536,19.043,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T06:50:34.027325Z","","","","",""
9,"1","выполнили быстро","2025-05-12T06:50:42.023805Z",3596020,5.498,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T06:50:42.023830Z","","","","",""
10,"1","Спасибо! ","2025-05-12T06:50:49.276066Z",3617808,6.035,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T06:50:49.276082Z","","","","",""
11,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-12T06:51:28.873589Z",3627490,38.391,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T06:51:28.873605Z","","","","",""
