annotation_id,annotator,comment,created_at,id,lead_time,rating,taxonomy,updated_at,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Не удовлетворён,Не понравилось качество,Не понравился результат
1,1,спасибо,2025-05-12 09:47:36.902,2945792,5.386,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 09:47:36.902,,,,,,,,
2,1,спасибо!,2025-05-12 09:48:01.075,3234340,4.775,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 09:48:01.075,,,,,,,,
3,1,Отлично ,2025-05-12 09:48:19.662,3380332,13.094,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Понравилось выполнение заявки""],[""Вопрос решен""]]}]",2025-05-12 09:48:19.662,,,,,,,,
4,1,Благодарю за оперативное решение проблемы ! ,2025-05-12 09:49:48.873,3381812,84.294,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""],[""Нравится качество работы сотрудников""],[""Понравилось выполнение заявки""],[""Вопрос решен""]]}]",2025-05-12 09:49:48.873,,,,,,,,
5,1,Прекрасный специалист! Побольше таких,2025-05-12 09:49:57.708,3461991,7.505,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 09:49:57.708,,,,,,,,
6,1,Спасибо ,2025-05-12 09:50:05.626,3551430,6.806,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 09:50:05.626,,,,,,,,
7,1,"пересчет, и скорость 
",2025-05-12 09:50:13.568,3572768,5.9,1,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]",2025-05-12 09:50:13.568,,,,,,,,
8,1,Спасибо за обновление покраски стен,2025-05-12 09:50:34.027,3584536,19.043,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 09:50:34.027,,,,,,,,
9,1,выполнили быстро,2025-05-12 09:50:42.023,3596020,5.498,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 09:50:42.023,,,,,,,,
10,1,Спасибо! ,2025-05-12 09:50:49.276,3617808,6.035,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 09:50:49.276,,,,,,,,
