id,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Плохой отзыв,rating
2945792,спасибо,0,0,0,0,1,0,2
3234340,спасибо,0,0,0,0,1,0,2
3380332,отлично,0,0,0,0,1,0,2
3381812,благодарю за оперативное решение проблемы,1,0,0,1,1,0,8
3461991,прекрасный специалист побольше таких,0,0,1,0,1,0,5
3551430,спасибо,0,0,0,0,1,0,2
3572768,пересчет и скорость,1,0,0,0,1,0,5
3584536,спасибо за обновление покраски стен,0,0,0,0,1,0,2
3596020,выполнили быстро,1,0,0,0,1,0,5
3617808,спасибо,0,0,0,0,1,0,2
3627490,спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку,1,0,0,0,1,0,5
3657819,спасибо,0,0,0,0,1,0,2
3691620,спасибо,0,0,0,0,1,0,2
3695420,решили мой вопрос спасибо,0,0,0,0,1,0,2
3716702,очень радует работа ук оперативно спасибо,1,0,1,0,1,0,8
3726842,все исправили,0,0,0,0,1,0,2
3745025,спасибо за оперативную работу,0,0,0,0,1,0,2
3749719,выполнили отлично обработка заявки была слишком дорогой,0,0,0,0,1,0,2
3751364,спасибо большое теперь не скрипят,0,0,0,0,1,0,2
3766183,спасибо,0,0,0,0,1,0,2
3770102,спасибо,0,0,0,0,1,0,2
3773834,норм,0,0,0,0,1,0,2
3791959,спасибо все прошло очень хорошо,0,1,0,0,1,0,5
3797804,спасибо пришли все поменяли за 10 минут,0,0,0,0,1,0,2
3799741,все очень оперативно,1,0,0,0,1,0,5
3802024,огромное спасибо,0,0,0,0,1,0,2
3805876,все отлично спасибо,0,0,0,0,1,0,2
3812092,хороший мастер,0,0,1,0,1,0,5
3815412,спасибо за оперативность,1,0,0,0,1,0,5
3820641,выполнена,0,0,0,0,1,0,2
3828569,все супер мастер,0,0,1,0,1,0,5
3829748,благодарю ребят,0,0,0,0,1,0,2
3831509,спасибо большое,0,0,0,0,1,0,2
3831883,спасибо,0,0,0,0,1,0,2
3832952,спасибо,0,0,0,0,1,0,2
3834081,проблема решена ручки на окна поставилиспасибо за обратную связь,0,0,0,0,1,0,2
3835748,благодарю за проделанную работу,0,0,0,0,1,0,2
3835874,надеюсь и причину устранили а то после первого дождя будет тоже самое,0,0,0,0,1,0,2
3839647,спасибо всё чётко,0,0,0,0,1,0,2
3840353,благодарю,0,0,0,0,1,0,2
3841026,спасибо сергей,0,0,0,0,1,0,2
3842440,михаил отличный мастер своего дела сделал быстро чисто дал рекомендации,1,0,1,0,1,0,8
3842790,хоть что то сделали,0,0,0,0,1,0,2
3843760,спасибо,0,0,0,0,1,0,2
3844645,профессионально быстро очень приятный мастер,1,0,1,0,1,0,8
3846820,спасибо,0,0,0,0,1,0,2
3846831,спасибо вопрос решили всё стало нормально,0,0,0,0,1,0,2
3848236,татьяна владимировна большое вам спасибо,0,0,0,0,1,0,2
3850021,спасибо,0,0,0,0,1,0,2
3850118,спасибо за быстрый ответ,1,0,0,0,1,0,5
3852179,огромное спасибо вам от всего подъезда,0,0,0,0,1,0,2
3852743,спасибо,0,0,0,0,1,0,2
3852975,спасибо,0,0,0,0,1,0,2
3854073,все отлично,0,0,0,0,1,0,2
3856028,свершилось,0,0,0,0,1,0,2
3859764,спасибо мастеру,0,0,1,0,1,0,5
3859780,спасибо вам среагировали оперативнобыстро а так же всё время были на связи,1,0,0,0,1,0,5
3860248,среагировали быстро благодарю,1,0,0,0,1,0,5
3860900,спасибо за оперативность,1,0,0,0,1,0,5
3862448,отличный мастер,0,0,1,0,1,0,5
3863351,спасибо по крайней мере по ночам пока шума не слышно,0,0,0,0,1,0,2
3863609,быстро,1,0,0,0,1,0,5
3866829,спасибо за своевременное выполнение заявки,0,0,0,1,1,0,5
3866867,все сделали быстро спасибо,1,0,0,0,1,0,5
3868883,всё отлично,0,0,0,0,1,0,2
3871379,спасибо,0,0,0,0,1,0,2
3872124,большое спасибо александруза оперативность и профессионализм,1,0,0,0,1,0,5
3872129,благодарю,0,0,0,0,1,0,2
3873692,оперативно и качественно спасибо,1,0,0,0,1,0,5
3874941,спасибо,0,0,0,0,1,0,2
3875262,благодарю всего доброго,0,0,0,0,1,0,2
3876790,спасибо,0,0,0,0,1,0,2
3876998,спасибо,0,0,0,0,1,0,2
3877186,спасибо большое,0,0,0,0,1,0,2
3877315,спасибо,0,0,0,0,1,0,2
3877334,к мастеру вопросов нет,0,0,1,0,1,0,5
3877901,мастер быстро решил проблемувсё исправилочень довольнаспасибо,1,0,1,0,1,0,8
3878088,вытяжка заработала спасибо отдельное спасибо мастеру который сообщил что нет причин препятствующих подключению вытяжки к домовой вентиляции,0,0,1,0,1,0,5
3878555,спасибо большое надолго ли,0,0,0,0,1,0,2
3878808,огромное спасибо,0,0,0,0,1,0,2
3879856,всё очень четко организовано большое спасибо за работу,0,0,0,0,1,0,2
3880345,спасибо вам большое и за дверь и за номера квартир,0,0,0,0,1,0,2
3880717,снимаю звезду за первую отписку без выполнения работ,0,0,0,0,1,0,2
3881004,в день создания заявки рабочие оперативно пришли и весь ужас убрали огромная благодарность,1,0,0,0,1,0,5
3881432,спасибо,0,0,0,0,1,0,2
3881460,спасибо все заработало,0,0,1,0,1,0,5
3881636,спасибо решили мой вопрос на месте в офисе,0,0,0,0,1,0,2
3882840,спасибо больше ольге птушкине за проделанную работу,0,0,0,0,1,0,2
3883049,спасибо,0,0,0,0,1,0,2
3883200,всё сделали хорошо починили вовремя наверное молодцы,0,1,0,0,1,0,5
3883457,спасибо,0,0,0,0,1,0,2
3883549,супер спасибо,0,0,0,0,1,0,2
3883658,отлично все выполнили как и обещали,0,0,0,0,1,0,2
3883736,очень оперативно спасибо большое,1,0,0,0,1,0,5
3883745,мастер андрей помог подобрать оборудование краныпереходники для подключения быстро и качественно произвел подключение стиральной машинки огромное ему спасибо,1,0,1,0,1,0,8
3883823,спасибо,0,0,0,0,1,0,2
3884514,спасибо,0,0,0,0,1,0,2
3884705,спасибо,0,0,0,0,1,0,2
3884964,умело подкрутили редукторы давления молодец,0,1,1,0,1,0,8
3885089,все хорошодверь практически бесшумно закрывается,0,1,0,0,1,0,5
3885291,спасибо,0,0,0,0,1,0,2
3885807,спасибо,0,0,0,0,1,0,2
3886150,проблемы как таковой не было я в процессе поиска страх компании и всего лишь спасибо сотрудникам,0,0,1,0,1,0,5
3886231,быстро чётко без проблем одно слово мастер,1,0,1,0,1,0,8
3886721,работает спасибо,0,0,1,0,1,0,5
3886923,сегодня ездил все исправно работает спасибо,0,0,1,0,1,0,5
3886937,спасибо большое всё понятно,0,0,0,0,1,0,2
