id,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Плохой отзыв,rating
2945792,спасибо,0,0,0,0,1,0,2
3234340,спасибо!,0,0,0,0,1,0,2
3380332,Отлично ,0,0,0,0,1,0,2
3381812,Благодарю за оперативное решение проблемы ! ,1,0,0,1,1,0,8
3461991,Прекрасный специалист! Побольше таких,0,0,1,0,1,0,5
3551430,Спасибо ,0,0,0,0,1,0,2
3572768,"пересчет, и скорость ",1,0,0,0,1,0,5
3584536,Спасибо за обновление покраски стен,0,0,0,0,1,0,2
3596020,выполнили быстро,1,0,0,0,1,0,5
3617808,Спасибо! ,0,0,0,0,1,0,2
3627490,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,1,0,0,0,1,0,5
3657819,спасибо,0,0,0,0,1,0,2
3691620,Спасибо ,0,0,0,0,1,0,2
3695420,Решили мой вопрос. Спасибо! ,0,0,0,0,1,0,2
3716702,Очень радует работа УК. Оперативно! Спасибо!,1,0,1,0,1,0,8
3726842,Все исправили ,0,0,0,0,1,0,2
3745025,спасибо за оперативную работу ,0,0,0,0,1,0,2
3749719,"Выполнили отлично , обработка заявки была слишком дорогой ",0,0,0,0,1,0,2
3751364,спасибо большое! теперь не скрипят ,0,0,0,0,1,0,2
3766183,спасибо,0,0,0,0,1,0,2
3770102,Спасибо!,0,0,0,0,1,0,2
3773834,Норм,0,0,0,0,1,0,2
3791959,спасибо. все прошло очень хорошо,0,1,0,0,1,0,5
3797804,"Спасибо, пришли все поменяли за 10 минут ",0,0,0,0,1,0,2
3799741,Все очень оперативно ,1,0,0,0,1,0,5
3802024,Огромное спасибо.,0,0,0,0,1,0,2
3805876,Все отлично! Спасибо.,0,0,0,0,1,0,2
3812092,Хороший мастер,0,0,1,0,1,0,5
3815412,Спасибо за оперативность! ,1,0,0,0,1,0,5
3820641,выполнена,0,0,0,0,1,0,2
3828569,"Все супер, Мастер 👍",0,0,1,0,1,0,5
3829748,Благодарю ребят.,0,0,0,0,1,0,2
3831509,Спасибо большое ,0,0,0,0,1,0,2
3831883,спасибо,0,0,0,0,1,0,2
3832952,Спасибо!,0,0,0,0,1,0,2
3834081,"Проблема решена, ручки на окна поставили.Спасибо за обратную связь!",0,0,0,0,1,0,2
3835748,Благодарю за проделанную работу! ,0,0,0,0,1,0,2
3835874,"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",0,0,0,0,1,0,2
3839647,"Спасибо, всё чётко.",0,0,0,0,1,0,2
3840353,Благодарю ,0,0,0,0,1,0,2
3841026,Спасибо Сергей ! )))),0,0,0,0,1,0,2
3842440,"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",1,0,1,0,1,0,8
3842790,хоть что то сделали 👍👏,0,0,0,0,1,0,2
3843760,спасибо),0,0,0,0,1,0,2
3844645,"профессионально, быстро. очень приятный мастер",1,0,1,0,1,0,8
3846820,спасибо! ,0,0,0,0,1,0,2
3846831,"Спасибо, вопрос решили, всё стало нормально ",0,0,0,0,1,0,2
3848236,Татьяна Владимировна большое вам спасибо!!!! ,0,0,0,0,1,0,2
3850021,спасибо! ,0,0,0,0,1,0,2
3850118,спасибо за  быстрый ответ!,1,0,0,0,1,0,5
3852179,Огромное спасибо вам от всего подъезда!!!   ))))),0,0,0,0,1,0,2
3852743,спасибо!),0,0,0,0,1,0,2
3852975,спасибо ,0,0,0,0,1,0,2
3854073,Все отлично ,0,0,0,0,1,0,2
3856028,свершилось,0,0,0,0,1,0,2
3859764,Спасибо мастеру ,0,0,1,0,1,0,5
3859780,"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",1,0,0,0,1,0,5
3860248,"Среагировали быстро, благодарю ",1,0,0,0,1,0,5
3860900,Спасибо за оперативность!,1,0,0,0,1,0,5
3862448,Отличный мастер!,0,0,1,0,1,0,5
3863351,"Спасибо! По крайней мере, по ночам пока шума не слышно.",0,0,0,0,1,0,2
3863609,Быстро ,1,0,0,0,1,0,5
3866829,Спасибо за своевременное выполнение заявки...,0,0,0,1,1,0,5
3866867,все сделали быстро. спасибо ,1,0,0,0,1,0,5
3868883,всё отлично 👍,0,0,0,0,1,0,2
3871379,Спасибо ,0,0,0,0,1,0,2
3872124,"Большое спасибо Александру,за оперативность и профессионализм ",1,0,0,0,1,0,5
3872129,благодарю ,0,0,0,0,1,0,2
3873692,оперативно и качественно. спасибо ,1,0,0,0,1,0,5
3874941,Спасибо!,0,0,0,0,1,0,2
3875262,"благодарю, всего доброго!",0,0,0,0,1,0,2
3876790,спасибо,0,0,0,0,1,0,2
3876998,Спасибо ,0,0,0,0,1,0,2
3877186,Спасибо большое! ,0,0,0,0,1,0,2
3877315,Спасибо!,0,0,0,0,1,0,2
3877334,К мастеру вопросов нет.  ,0,0,1,0,1,0,5
3877901,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",1,0,1,0,1,0,8
3878088,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",0,0,1,0,1,0,5
3878555,спасибо большое! надолго ли🙄,0,0,0,0,1,0,2
3878808,Огромное спасибо! ,0,0,0,0,1,0,2
3879856,Всё очень четко организовано! Большое спасибо за работу!,0,0,0,0,1,0,2
3880345,Спасибо Вам большое и за дверь и за номера квартир!,0,0,0,0,1,0,2
3880717,снимаю звезду за первую отписку без выполнения работ,0,0,0,0,1,0,2
3881004,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",1,0,0,0,1,0,5
3881432,Спасибо!,0,0,0,0,1,0,2
3881460,Спасибо! Все заработало ,0,0,1,0,1,0,5
3881636,"спасибо, решили мой вопрос на месте в офисе ",0,0,0,0,1,0,2
3882840,"Спасибо больше Ольге Птушкине, за проделанную работу! ",0,0,0,0,1,0,2
3883049,Спасибо ,0,0,0,0,1,0,2
3883200,"всё сделали хорошо, починили вовремя. наверное, молодцы.",0,1,0,0,1,0,5
3883457,Спасибо,0,0,0,0,1,0,2
3883549,Супер! Спасибо!,0,0,0,0,1,0,2
3883658,Отлично! Все выполнили как и обещали! ,0,0,0,0,1,0,2
3883736,Очень оперативно. Спасибо большое ,1,0,0,0,1,0,5
3883745,"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",1,0,1,0,1,0,8
3883823,Спасибо,0,0,0,0,1,0,2
3884514,спасибо,0,0,0,0,1,0,2
3884705,Спасибо ,0,0,0,0,1,0,2
